,Rank,Movie,Year,IMDB_Ratings,User_Review
0,1,1. The Shawshank Redemption,1994,9.3,2800000
1,2,2. The Godfather,1972,9.2,2000000
2,3,3. The Dark Knight,2008,9.0,2800000
3,4,4. The Godfather: Part II,1974,9.0,1300000
4,5,5. 12 Angry Men,1957,9.0,1400000
5,6,6. Schindler's List,1993,9.0,1900000
6,7,7. The Lord of the Rings: The Return of the King,2003,9.0,2200000
7,8,8. Pulp Fiction,1994,8.9,2000000
8,9,9. The Lord of the Rings: The Fellowship of the Ring,2001,8.8,2200000
9,10,"10. Il Buono, Il Brutto, Il Cattivo",1966,8.8,2300000
10,11,11. Forrest Gump,1994,8.8,1700000
11,12,12. Fight Club,1999,8.8,2500000
12,13,13. The Lord of the Rings: The Two Towers,2002,8.8,1400000
13,14,14. Inception,2010,8.8,2000000
14,15,15. Star Wars: Episode V - The Empire Strikes Back,1980,8.7,1200000
15,16,16. The Matrix,1999,8.7,1100000
16,17,17. GoodFellas,1990,8.7,1800000
17,18,18. One Flew Over the Cuckoo's Nest,1975,8.7,2000000
18,19,19. Se7en,1995,8.6,1500000
19,20,20. It's a Wonderful Life,1946,8.6,1500000
20,21,21. Shichinin No Samurai,1954,8.6,1400000
21,22,22. Interstellar,2014,8.7,1400000
22,23,23. The Silence of the Lambs,1991,8.6,1200000
23,24,24. Saving Private Ryan,1998,8.6,1300000
24,25,25. City of God,2002,8.6,1600000
25,26,26. Life Is Beautiful,1997,8.6,1100000
26,27,27. The Green Mile,1999,8.6,1200000
27,28,28. Spider-man: Across the Spider-verse,2023,8.7,1200000
28,29,29. Star Wars: Episode IV - A New Hope,1977,8.6,1400000
29,30,30. Terminator 2: Judgment Day,1991,8.6,1400000
30,31,31. Back to the Future,1985,8.5,1100000
31,32,32. Spirited Away,2001,8.6,1700000
32,33,33. The Pianist,2002,8.5,1300000
33,34,34. Psycho,1960,8.5,1000000
34,35,35. Parasite,2019,8.5,1200000
35,36,36. Gladiator,2000,8.5,1200000
36,37,37. The Lion King,1994,8.5,1100000
37,38,38. Léon,1994,8.5,1500000
38,39,39. American History X,1998,8.5,1800000
39,40,40. The Departed,2006,8.5,1200000
40,41,41. Whiplash,2014,8.5,1000000
41,42,42. The Prestige,2006,8.5,1100000
42,43,43. Grave of the Fireflies,1988,8.5,1200000
43,44,44. The Usual Suspects,1995,8.5,1400000
44,45,45. Seppuku,1962,8.6,1000000
45,46,46. Casablanca,1942,8.5,1100000
46,47,47. Intouchables,2011,8.5,1100000
47,48,48. Modern Times,1936,8.5,1100000
48,49,49. Cinema Paradiso,1988,8.5,1100000
49,50,50. C'era Una Volta Il West,1968,8.5,1500000
50,51,51. Rear Window,1954,8.5,1500000
51,52,52. Alien,1979,8.5,1200000
52,53,53. City Lights,1931,8.5,1400000
53,54,54. Apocalypse Now,1979,8.4,1000000
54,55,55. Django Unchained,2012,8.5,1000000
55,56,56. Memento,2000,8.4,1000000
56,57,57. Raiders of the Lost Ark,1981,8.4,1200000
57,58,58. WALL·E,2008,8.4,1100000
58,59,59. Das Leben der Anderen,2006,8.4,1200000
59,60,60. Sunset Blvd.,1950,8.4,1100000
60,61,61. Paths of Glory,1957,8.4,1000000
61,62,62. Avengers: Infinity War,2018,8.4,1100000
62,63,63. The Shining,1980,8.4,1200000
63,64,64. Spider-Man: Into the Spider-Verse,2018,8.4,844000000
64,65,65. Witness for the Prosecution,1957,8.4,797000000
65,66,66. The Great Dictator,1940,8.4,485000000
66,67,67. Oppenheimer,2023,8.4,361000000
67,68,68. Alien 2,1986,8.4,788000000
68,69,69. Inglourious Basterds,2009,8.4,730000000
69,70,70. The Dark Knight Rises,2012,8.4,311000000
70,71,71. American Beauty,1999,8.3,823000000
71,72,72. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,890000000
72,73,73. Oldeuboi,2003,8.4,706000000
73,74,74. Coco,2017,8.4,910000000
74,75,75. Amadeus,1984,8.4,951000000
75,76,76. Toy Story,1995,8.3,301000000
76,77,77. Das Boot,1981,8.4,66000000
77,78,78. Braveheart,1995,8.3,597000000
78,79,79. Avengers: Endgame,2019,8.4,909000000
79,80,80. Joker,2019,8.4,255000000
80,81,81. Mononoke-hime,1997,8.3,277000000
81,82,82. Good Will Hunting,1997,8.3,344000000
82,83,83. Kimi No Na Wa.,2016,8.4,513000000
83,84,84. Once Upon a Time in America,1984,8.3,931000000
84,85,85. Tengoku to Jigoku,1963,8.4,193000000
85,86,86. 3 Idiots,2009,8.4,698000000
86,87,87. Singin' in the Rain,1952,8.3,405000000
87,88,88. Capharnaüm,2018,8.4,233000000
88,89,89. Requiem for a Dream,2000,8.3,209000000
89,90,90. Idi I Smotri,1985,8.4,645000000
90,91,91. Toy Story 3,2010,8.3,134000000
91,92,92. Star Wars: Episode VI - Return of the Jedi,1983,8.3,234000000
